node_time,modem_time,cv7_time,navigator_time,gps_time,nav_state_time
1750109964.4884655,,1750046607.4867508,1750045510.5589232,,
1750109964.4953172,,1750046607.4867508,1750045510.5719602,,
1750109964.5010548,,1750046607.4996936,1750045510.5719602,,
1750109964.5080006,,1750046607.4996936,1750045510.5849397,,
1750109964.5152395,,1750046607.5125709,1750045510.5849397,,
1750109964.5218742,,1750046607.5125709,1750045510.5979927,,
1750109964.52758,,1750046607.5255365,1750045510.5979927,,
1750109964.5340433,,1750046607.5255365,1750045510.6110182,,
1750109964.5399575,,1750046607.5386555,1750045510.6110182,,
1750109964.5480797,,1750046607.5386555,1750045510.6239529,,
1750109964.5526297,,1750046607.5516016,1750045510.6239529,,
1750109964.5600352,,1750046607.5516016,1750045510.6368809,,
1750109964.5654213,,1750046607.5643992,1750045510.6368809,,
1750109964.573114,,1750046607.5643992,1750045510.6498206,,
1750109964.5795832,,1750046607.5773249,1750045510.6498206,,
1750109964.5864418,,1750046607.5773249,1750045510.6628118,,
1750109964.5913079,,1750046607.5902796,1750045510.6628118,,
1750109964.598785,,1750046607.5902796,1750045510.6757605,,
1750109964.603945,,1750046607.6032324,1750045510.6757605,,
1750109964.6130233,,1750046607.6032324,1750045510.6887295,,
1750109964.6175995,,1750046607.6161509,1750045510.6887295,,
1750109964.625189,,1750046607.6161509,1750045510.7017035,,
1750109964.6304455,,1750046607.629041,1750045510.7017035,,
1750109964.637595,,1750046607.629041,1750045510.7147315,,
1750109964.6435378,,1750046607.6419468,1750045510.7147315,,
1750109964.6515527,,1750046607.6419468,1750045510.7276702,,
1750109964.6561732,,1750046607.6547925,1750045510.7276702,,
1750109964.6688778,,1750046607.667699,1750045510.7276702,,
1750109964.677276,,1750046607.667699,1750045510.7532446,,
1750109964.6822248,,1750046607.6805453,1750045510.7532446,,
1750109964.689758,,1750046607.6805453,1750045510.7661672,,
1750109964.6950204,,1750046607.6934075,1750045510.7661672,,
1750109964.702191,,1750046607.6934075,1750045510.7791588,,
1750109964.7073174,,1750046607.7063262,1750045510.7791588,,
1750109964.7160664,,1750046607.7063262,1750045510.7921767,,
1750109964.720529,,1750046607.7191641,1750045510.7921767,,
1750109964.728151,,1750046607.7191641,1750045510.8049676,,
1750109964.732702,,1750046607.7320254,1750045510.8049676,,
1750109964.7410402,,1750046607.7320254,1750045510.817896,,
1750109964.7466667,,1750046607.7449036,1750045510.817896,,
1750109964.7545936,,1750046607.7449036,1750045510.8308163,,
1750109964.7587407,,1750046607.7577448,1750045510.8308163,,
1750109964.766617,,1750046607.7577448,1750045510.8436115,,
1750109964.7720163,,1750046607.77057,1750045510.8436115,,
1750109964.7803092,,1750046607.77057,1750045510.8565478,,
1750109964.784925,,1750046607.7834303,1750045510.8565478,,
1750109964.7931032,,1750046607.7834303,1750045510.8695695,,
1750109964.7973409,,1750046607.7963386,1750045510.8695695,,
1750109964.8059263,,1750046607.7963386,1750045510.8825364,,
1750109964.8108623,,1750046607.8092232,1750045510.8825364,,
1750109964.8191319,,1750046607.8092232,1750045510.8954687,,
1750109964.8234339,,1750046607.822302,1750045510.8954687,,
1750109964.8313692,,1750046607.822302,1750045510.9083982,,
1750109964.8363929,,1750046607.8351862,1750045510.9083982,,
1750109964.8450785,,1750046607.8351862,1750045510.9213855,,
1750109964.8499439,,1750046607.8480365,1750045510.9213855,,
1750109964.8578622,,1750046607.8480365,1750045510.9343545,,
1750109964.8618007,,1750046607.8608599,1750045510.9343545,,
1750109964.870257,,1750046607.8608599,1750045510.9472902,,
1750109964.8747149,,1750046607.8737726,1750045510.9472902,,
1750109964.8858087,,1750046607.886648,1750045510.960329,,
1750109964.8884108,,1750046607.886648,1750045510.960329,,
1750109964.8966467,,1750046607.886648,1750045510.9734826,,
1750109964.9004061,,1750046607.8994877,1750045510.9734826,,
1750109964.9095943,,1750046607.8994877,1750045510.9864588,,
1750109964.913399,,1750046607.9122982,1750045510.9864588,,
1750109964.9234495,,1750046607.9122982,1750045510.9993665,,
1750109964.9271564,,1750046607.9251745,1750045510.9993665,,
1750109964.9353197,,1750046607.9251745,1750045511.0123029,,
1750109964.938949,,1750046607.9380083,1750045511.0123029,,
1750109964.9486592,,1750046607.9380083,1750045511.0252347,,
1750109964.9528449,,1750046607.9508939,1750045511.0252347,,
1750109964.9632523,,1750046607.9637532,1750045511.0382721,,
1750109964.9655292,,1750046607.9637532,1750045511.0382721,,
1750109964.974303,,1750046607.9637532,1750045511.0512245,,
1750109964.9778523,,1750046607.9767401,1750045511.0512245,,
1750109964.9887326,,1750046607.989515,1750045511.0641773,,
1750109964.9916017,,1750046607.989515,1750045511.0641773,,
1750109965.0016003,,1750046608.0024242,1750045511.0771213,,
1750109965.0041823,,1750046608.0024242,1750045511.0771213,,
1750109965.0147903,,1750046608.0152345,1750045511.0900264,,1750046615.0594418
1750109965.0171275,,1750046608.0152345,1750045511.0900264,,1750046615.0594418
1750109965.0204399,,1750046608.0152345,1750045511.0900264,,1750046615.0594418
1750109965.0275679,,1750046608.0280676,1750045511.102945,,1750046615.0594418
1750109965.029788,,1750046608.0280676,1750045511.102945,,1750046615.0594418
1750109965.0390682,,1750046608.0280676,1750045511.1159492,,1750046615.0594418
1750109965.0427089,,1750046608.0409987,1750045511.1159492,,1750046615.0594418
1750109965.0540326,,1750046608.0537684,1750045511.128865,,1750046615.0594418
1750109965.0565548,,1750046608.0537684,1750045511.128865,,1750046615.0594418
